servedCuisines,placeId,summedSale
American,132872,1025.44
American,132951,751.16
American,132851,424.6
Armenian,132667,378.02
Bakery,132866,233.5
Bar,135052,1772.7
Bar,132921,1170.51
Bar,135041,1150.71
Bar_Pub_Brewery,135052,1772.7
Bar_Pub_Brewery,135026,898.82
Bar_Pub_Brewery,135071,707.75
Breakfast-Brunch,132954,632.22
Burgers,135086,725.28
Burgers,132861,552.57
Burgers,132870,412.76
Cafe-Coffee_Shop,135030,869.31
Cafeteria,135032,2035.87
Cafeteria,135041,1150.71
Cafeteria,132572,1010.14
Chinese,135042,1283.41
Chinese,135079,1135.76
Chinese,135044,323.17
Contemporary,135032,2035.87
Contemporary,135074,462.61
Family,132768,635.41
Family,132773,265.89
Fast_Food,135085,2663.69
Fast_Food,135046,1032.28
Fast_Food,135021,916.16
Game,132851,424.6
International,132862,1177.73
International,134986,497.45
International,132854,411.91
Italian,132856,1043.95
Italian,135035,306.06
Italian,132626,261.92
Japanese,135072,714.36
Japanese,132875,502.85
Japanese,134999,431.77
Mediterranean,134976,347.79
Mexican,132825,2128.18
Mexican,132834,1835.47
Mexican,135028,1174.33
Pizzeria,135058,1450.28
Pizzeria,132733,745.14
Pizzeria,135053,647.21
Regional,132560,288.16
Seafood,135060,1432.86
Seafood,135039,927.92
Seafood,135075,860.56
Vietnamese,132767,555.5
