userId,avgConsecutiveHours
U1001,2.5
U1002,0.0
U1003,0.5
U1004,-9994.0
U1005,0.0
U1006,0.0
U1007,0.67
U1008,2.5
U1009,0.75
U1010,1.33
U1011,-9994.0
U1012,-9994.0
U1013,0.75
U1014,2.0
U1015,-9994.0
U1016,1.0
U1017,-9994.0
U1018,1.33
U1019,-9994.0
U1020,1.5
U1021,-9994.0
U1022,2.0
U1024,1.5
U1025,1.67
U1026,1.0
U1027,0.67
U1028,1.5
U1029,1.0
U1030,-9994.0
U1032,1.67
U1033,1.67
U1034,1.0
U1035,0.33
U1036,-9994.0
U1037,0.33
U1038,0.0
U1039,2.5
U1042,0.5
U1043,1.67
U1044,-9994.0
U1045,1.67
U1046,-9994.0
U1047,-9994.0
U1048,-9994.0
U1049,1.25
U1050,0.67
U1053,-9994.0
U1054,0.5
U1055,1.67
U1056,-9994.0
U1057,2.0
U1058,-9994.0
U1059,-9994.0
U1061,0.6
U1062,0.67
U1063,-9994.0
U1065,-9994.0
U1066,0.5
U1067,0.5
U1068,2.0
U1069,0.67
U1070,-9994.0
U1071,1.5
U1072,1.0
U1075,1.33
U1076,2.0
U1077,0.5
U1078,-9994.0
U1079,-9994.0
U1080,-9994.0
U1081,1.0
U1082,1.5
U1083,-9994.0
U1084,1.33
U1085,0.5
U1087,1.0
U1088,1.33
U1089,2.0
U1090,1.5
U1091,-9994.0
U1092,-9994.0
U1093,1.0
U1094,1.5
U1095,1.0
U1096,-9994.0
U1097,0.5
U1098,1.25
U1099,1.33
U1100,2.0
U1101,-9994.0
U1102,-9994.0
U1103,2.0
U1104,0.75
U1105,0.0
U1106,1.0
U1108,2.0
U1109,0.75
U1110,-9994.0
U1111,0.4
U1112,1.0
U1113,1.67
U1114,1.0
U1115,1.0
U1116,1.67
U1117,2.0
U1118,1.5
U1119,-9994.0
U1120,2.0
U1121,-9994.0
U1122,1.5
U1123,1.5
U1124,1.67
U1125,1.0
U1126,2.0
U1127,-9994.0
U1128,-9994.0
U1130,-9994.0
U1131,-9994.0
U1132,-9994.0
U1133,-9994.0
U1134,-9994.0
U1135,0.83
U1136,1.25
U1137,1.33
